Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-400, 141103, 0, 473.2, 4.28, 0.21, 1.30, 472.6
create-asset-2000, 62588, 0, 210.6, 1.95, 0.12, 0.86, 210.3
create-asset-4000, 44249, 0, 148.7, 1.81, 0.18, 0.85, 148.6
create-asset-8000, 28820, 0, 97.0, 2.21, 0.20, 0.90, 96.9
create-asset-16000, 21179, 0, 71.3, 2.71, 0.30, 1.04, 71.1

Benchmark 1
create-asset-400, 135452, 0, 455.8, 4.28, 0.17, 1.32, 454.8
create-asset-2000, 63037, 0, 212.4, 2.15, 0.15, 0.89, 211.9
create-asset-4000, 43235, 0, 145.3, 1.90, 0.15, 0.85, 145.0
create-asset-8000, 28536, 0, 96.0, 2.52, 0.19, 0.91, 95.9
create-asset-16000, 21796, 0, 73.4, 2.85, 0.29, 1.03, 73.3

Benchmark 2
create-asset-400, 139758, 0, 471.0, 4.18, 0.25, 1.31, 470.5
create-asset-2000, 60319, 0, 202.6, 2.12, 0.14, 0.89, 202.3
create-asset-4000, 44910, 0, 151.2, 2.65, 0.20, 0.87, 151.1
create-asset-8000, 28807, 0, 96.9, 2.25, 0.18, 0.88, 96.7
create-asset-16000, 21494, 0, 72.3, 2.89, 0.23, 1.03, 72.2

Benchmark 3
create-asset-400, 139114, 0, 465.9, 5.34, 0.20, 1.32, 464.2
create-asset-2000, 61334, 0, 206.4, 2.12, 0.14, 0.89, 206.1
create-asset-4000, 44879, 0, 151.0, 2.89, 0.13, 0.85, 150.8
create-asset-8000, 28991, 0, 97.6, 1.99, 0.18, 0.88, 97.4
create-asset-16000, 21222, 0, 71.3, 3.74, 0.17, 1.04, 71.2

Benchmark 4
create-asset-400, 132807, 0, 445.8, 4.49, 0.10, 1.35, 444.9
create-asset-2000, 60566, 0, 204.0, 2.69, 0.15, 0.90, 203.9
create-asset-4000, 44273, 0, 148.9, 2.02, 0.20, 0.85, 148.7
create-asset-8000, 27925, 0, 93.9, 2.46, 0.17, 0.91, 93.8
create-asset-16000, 20800, 0, 69.8, 2.84, 0.22, 1.07, 69.6

Benchmark 5
create-asset-400, 134841, 0, 453.8, 4.41, 0.15, 1.32, 452.9
create-asset-2000, 59898, 0, 201.8, 2.21, 0.13, 0.90, 201.7
create-asset-4000, 42872, 0, 144.2, 2.00, 0.16, 0.85, 144.0
create-asset-8000, 28890, 0, 97.2, 2.36, 0.19, 0.88, 97.0
create-asset-16000, 21278, 0, 71.4, 2.85, 0.24, 1.04, 71.3

Benchmark 6
create-asset-400, 143136, 0, 479.4, 4.60, 0.21, 1.31, 479.0
create-asset-2000, 61439, 0, 207.0, 1.98, 0.14, 0.88, 206.6
