Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-rate-100-1000, 300020, 0, 1000.0, 6.93, 0.62, 2.79, 978.6
create-asset-rate-1000-800, 240020, 0, 800.0, 6.84, 0.77, 3.32, 784.8
create-asset-rate-2000-600, 180020, 0, 600.0, 12.09, 0.63, 4.09, 578.9

Benchmark 1
create-asset-rate-100-1000, 300020, 0, 1000.1, 9.44, 0.58, 3.77, 970.6
create-asset-rate-1000-800, 240020, 0, 800.0, 12.42, 0.69, 5.44, 783.4
create-asset-rate-2000-600, 180020, 0, 600.0, 12.14, 0.76, 6.68, 592.5

Benchmark 2
create-asset-rate-100-1000, 300020, 0, 1000.0, 4.31, 0.55, 1.87, 991.4
create-asset-rate-1000-800, 240020, 0, 800.0, 7.31, 0.66, 2.81, 784.1
create-asset-rate-2000-600, 180020, 0, 600.0, 8.29, 0.67, 4.09, 593.6

Benchmark 3
create-asset-rate-100-1000, 300020, 0, 1000.0, 4.85, 0.56, 2.33, 986.2
create-asset-rate-1000-800, 240020, 0, 800.0, 11.60, 0.77, 5.02, 785.1
create-asset-rate-2000-600, 180020, 0, 600.0, 8.54, 0.65, 3.46, 589.3

Benchmark 4
create-asset-rate-100-1000, 300020, 0, 1000.0, 4.53, 0.57, 2.12, 986.6
create-asset-rate-1000-800, 240020, 0, 800.0, 13.60, 0.70, 5.96, 785.3
create-asset-rate-2000-600, 180020, 0, 600.0, 14.24, 0.68, 4.66, 596.1

Benchmark 5
create-asset-rate-100-1000, 300020, 0, 1000.0, 8.02, 0.59, 3.00, 975.2
create-asset-rate-1000-800, 240020, 0, 800.0, 13.86, 0.75, 6.09, 782.5
create-asset-rate-2000-600, 180020, 0, 600.0, 13.76, 0.64, 5.46, 583.6

Benchmark 6
create-asset-rate-100-1000, 300020, 0, 1000.0, 6.08, 0.63, 2.94, 981.6
create-asset-rate-1000-800, 240020, 0, 800.0, 8.00, 0.65, 3.09, 790.9
create-asset-rate-2000-600, 180020, 0, 600.0, 6.98, 0.58, 2.80, 591.6

Benchmark 7
create-asset-rate-100-1000, 300018, 0, 1000.0, 4.81, 0.59, 2.19, 991.9
create-asset-rate-1000-800, 240020, 0, 800.0, 7.54, 0.72, 3.21, 783.7
create-asset-rate-2000-600, 180020, 0, 600.0, 7.07, 0.65, 3.03, 591.4

Benchmark 8
create-asset-rate-100-1000, 300018, 0, 1000.0, 4.21, 0.55, 1.99, 989.6
create-asset-rate-1000-800, 240020, 0, 800.0, 6.41, 0.70, 2.75, 788.8
create-asset-rate-2000-600, 180020, 0, 600.1, 6.84, 0.71, 2.91, 595.8

Benchmark 9
create-asset-rate-100-1000, 300020, 0, 1000.1, 4.20, 0.58, 2.01, 988.7
create-asset-rate-1000-800, 240020, 0, 800.0, 6.16, 0.64, 2.48, 789.0
create-asset-rate-2000-600, 180020, 0, 600.1, 5.63, 0.57, 2.13, 597.8
