Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-rate-100-1000, 300020, 0, 1000.0, 3.98, 0.40, 1.02, 994.3
create-asset-rate-1000-800, 240020, 0, 800.1, 7.92, 0.49, 1.79, 791.6
create-asset-rate-2000-600, 180020, 0, 600.0, 7.80, 0.52, 2.31, 598.0

Benchmark 1
create-asset-rate-100-1000, 300020, 0, 1000.0, 3.21, 0.39, 0.85, 995.3
create-asset-rate-1000-800, 240020, 0, 800.0, 2.81, 0.49, 1.06, 797.8
create-asset-rate-2000-600, 180020, 0, 600.0, 24.20, 0.60, 6.86, 558.9

Benchmark 2
create-asset-rate-100-1000, 300020, 0, 1000.1, 3.86, 0.42, 1.45, 988.6
create-asset-rate-1000-800, 240020, 0, 800.1, 14.87, 0.54, 5.10, 767.2
create-asset-rate-2000-600, 180020, 0, 600.0, 40.77, 0.69, 22.79, 559.4

Benchmark 3
create-asset-rate-100-1000, 300020, 0, 1000.0, 3.69, 0.40, 1.31, 990.8
create-asset-rate-1000-800, 240020, 0, 800.0, 7.50, 0.53, 3.15, 793.7
create-asset-rate-2000-600, 180020, 0, 600.0, 27.19, 0.61, 14.76, 551.7

Benchmark 4
create-asset-rate-100-1000, 300020, 0, 1000.1, 3.86, 0.43, 1.65, 988.7
create-asset-rate-1000-800, 240020, 0, 800.0, 7.27, 0.52, 2.89, 788.0
create-asset-rate-2000-600, 180020, 0, 600.0, 22.68, 0.65, 10.28, 582.9

Benchmark 5
create-asset-rate-100-1000, 300020, 0, 1000.0, 3.29, 0.41, 1.07, 993.2
create-asset-rate-1000-800, 240020, 0, 800.0, 5.28, 0.51, 1.94, 792.1
create-asset-rate-2000-600, 180020, 0, 600.0, 16.90, 0.66, 8.52, 571.4

Benchmark 6
create-asset-rate-100-1000, 300020, 0, 1000.1, 3.47, 0.41, 1.08, 991.4
create-asset-rate-1000-800, 240020, 0, 800.0, 8.32, 0.51, 2.54, 795.1
create-asset-rate-2000-600, 180020, 0, 600.0, 14.90, 0.67, 9.38, 584.0

Benchmark 7
create-asset-rate-100-1000, 300020, 0, 1000.1, 2.60, 0.40, 1.03, 992.5
create-asset-rate-1000-800, 240020, 0, 800.0, 4.97, 0.50, 1.92, 796.1
create-asset-rate-2000-600, 180020, 0, 600.0, 9.89, 0.57, 3.93, 581.7

Benchmark 8
create-asset-rate-100-1000, 300020, 0, 1000.1, 3.98, 0.40, 1.11, 991.3
create-asset-rate-1000-800, 240020, 0, 800.1, 4.52, 0.52, 1.67, 793.8
create-asset-rate-2000-600, 180020, 0, 600.0, 35.94, 0.63, 16.51, 541.4

Benchmark 9
create-asset-rate-100-1000, 300020, 0, 1000.1, 3.23, 0.40, 1.09, 994.8
create-asset-rate-1000-800, 240020, 0, 800.0, 4.55, 0.52, 1.73, 795.0
create-asset-rate-2000-600, 180020, 0, 600.0, 8.18, 0.65, 3.86, 588.2
