Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-rate-4000-500, 150012, 0, 500.0, 5.18, 0.59, 2.09, 498.4
create-asset-rate-8000-300, 90012, 0, 300.0, 5.10, 0.60, 1.87, 297.2
create-asset-rate-16000-2150, 45012, 0, 150.0, 84.16, 0.76, 36.45, 120.7

Benchmark 1
create-asset-rate-4000-500, 150012, 0, 500.0, 6.48, 0.60, 2.78, 492.4
create-asset-rate-8000-300, 90012, 0, 300.0, 49.51, 0.73, 9.43, 268.0
create-asset-rate-16000-2150, 45010, 0, 150.0, 105.70, 0.87, 55.46, 116.0

Benchmark 2
create-asset-rate-4000-500, 150012, 0, 500.0, 5.44, 0.55, 2.44, 495.4
create-asset-rate-8000-300, 90012, 0, 300.0, 34.34, 0.60, 9.95, 270.5
create-asset-rate-16000-2150, 45012, 0, 150.0, 105.02, 0.76, 59.52, 117.4

Benchmark 3
create-asset-rate-4000-500, 150012, 0, 500.0, 6.01, 0.57, 2.72, 493.5
create-asset-rate-8000-300, 90012, 0, 300.0, 9.25, 0.59, 3.40, 298.0
create-asset-rate-16000-2150, 45012, 0, 150.0, 87.27, 0.64, 37.82, 121.1

Benchmark 4
create-asset-rate-4000-500, 150012, 0, 500.0, 5.78, 0.59, 2.98, 494.7
create-asset-rate-8000-300, 90012, 0, 300.0, 32.58, 0.63, 8.28, 277.8
create-asset-rate-16000-2150, 45012, 0, 150.0, 97.88, 0.65, 39.15, 116.5

Benchmark 5
create-asset-rate-4000-500, 150012, 0, 500.0, 6.66, 0.59, 2.94, 492.7
create-asset-rate-8000-300, 90012, 0, 299.9, 49.31, 0.65, 10.87, 264.4
create-asset-rate-16000-2150, 45012, 0, 150.0, 107.64, 0.82, 55.94, 114.0

Benchmark 6
create-asset-rate-4000-500, 150012, 0, 500.0, 5.05, 0.58, 2.23, 494.5
create-asset-rate-8000-300, 90012, 0, 300.0, 34.05, 0.58, 4.37, 280.9
create-asset-rate-16000-2150, 45012, 0, 150.0, 68.07, 0.57, 36.61, 128.7

Benchmark 7
create-asset-rate-4000-500, 150012, 0, 500.0, 6.00, 0.58, 2.97, 492.4
create-asset-rate-8000-300, 90012, 0, 300.0, 40.30, 0.61, 7.84, 270.9
create-asset-rate-16000-2150, 45012, 0, 150.0, 103.30, 0.96, 55.22, 116.8

Benchmark 8
create-asset-rate-4000-500, 150012, 0, 500.0, 5.29, 0.59, 2.27, 495.7
create-asset-rate-8000-300, 90012, 0, 300.0, 34.40, 0.57, 8.19, 277.8
create-asset-rate-16000-2150, 45012, 0, 150.0, 124.47, 0.82, 62.18, 110.0

Benchmark 9
create-asset-rate-4000-500, 150012, 0, 500.0, 5.42, 0.57, 2.74, 493.3
create-asset-rate-8000-300, 90012, 0, 300.0, 32.33, 0.65, 6.64, 271.9
create-asset-rate-16000-2150, 45012, 0, 150.0, 101.64, 0.75, 56.45, 117.8
