Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-rate-4000-500, 150012, 0, 500.0, 14.46, 0.48, 4.49, 479.3
create-asset-rate-8000-300, 90012, 0, 300.0, 37.69, 0.54, 8.70, 269.4
create-asset-rate-16000-2150, 45012, 0, 150.0, 82.73, 0.86, 50.29, 124.4

Benchmark 1
create-asset-rate-4000-500, 150012, 0, 500.0, 6.00, 0.52, 1.98, 494.3
create-asset-rate-8000-300, 90012, 0, 300.0, 40.34, 0.61, 10.58, 273.4
create-asset-rate-16000-2150, 45012, 0, 150.0, 94.95, 0.65, 48.44, 119.2

Benchmark 2
create-asset-rate-4000-500, 150012, 0, 500.0, 3.14, 0.48, 1.15, 496.6
create-asset-rate-8000-300, 90012, 0, 300.0, 56.09, 0.53, 9.51, 263.7
create-asset-rate-16000-2150, 45012, 0, 150.0, 113.25, 0.85, 60.42, 116.1

Benchmark 3
create-asset-rate-4000-500, 150012, 0, 500.0, 3.47, 0.49, 1.38, 498.5
create-asset-rate-8000-300, 90012, 0, 300.0, 34.03, 0.53, 6.42, 278.8
create-asset-rate-16000-2150, 45012, 0, 150.0, 73.68, 0.64, 29.14, 124.7

Benchmark 4
create-asset-rate-4000-500, 150012, 0, 500.0, 3.03, 0.49, 1.05, 498.9
create-asset-rate-8000-300, 90012, 0, 300.0, 46.15, 0.53, 8.53, 268.2
create-asset-rate-16000-2150, 45012, 0, 150.0, 120.00, 0.85, 55.91, 109.9

Benchmark 5
create-asset-rate-4000-500, 150012, 0, 500.0, 10.23, 0.54, 3.06, 486.0
create-asset-rate-8000-300, 90012, 0, 300.0, 47.52, 0.54, 11.33, 264.8
create-asset-rate-16000-2150, 45012, 0, 150.0, 90.09, 0.91, 44.07, 122.4

Benchmark 6
create-asset-rate-4000-500, 150012, 0, 500.0, 9.10, 0.52, 2.69, 487.6
create-asset-rate-8000-300, 90012, 0, 300.0, 33.20, 0.49, 7.63, 274.4
create-asset-rate-16000-2150, 45012, 0, 150.0, 91.61, 0.69, 48.78, 119.5

Benchmark 7
create-asset-rate-4000-500, 150012, 0, 500.0, 4.41, 0.52, 1.97, 495.0
create-asset-rate-8000-300, 90012, 0, 300.0, 38.19, 0.62, 9.21, 272.5
create-asset-rate-16000-2150, 45012, 0, 150.0, 113.31, 0.75, 62.29, 111.5

Benchmark 8
create-asset-rate-4000-500, 150012, 0, 500.0, 3.44, 0.47, 1.40, 497.0
create-asset-rate-8000-300, 90012, 0, 300.0, 60.56, 0.49, 11.93, 259.5
create-asset-rate-16000-2150, 45012, 0, 150.0, 108.08, 0.80, 55.34, 116.2

Benchmark 9
create-asset-rate-4000-500, 150012, 0, 500.0, 4.33, 0.48, 1.58, 494.7
create-asset-rate-8000-300, 90012, 0, 300.0, 32.41, 0.50, 5.84, 274.9
create-asset-rate-16000-2150, 45012, 0, 150.0, 102.59, 0.95, 53.54, 117.8
