Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-load-75, 20906, 0, 70.4, 2.14, 0.23, 0.85, 70.3
create-asset-load-150, 26135, 0, 88.0, 2.48, 0.21, 0.98, 87.8
create-asset-load-225, 30182, 0, 101.2, 3.53, 0.20, 1.25, 101.1
create-asset-load-300, 52974, 0, 177.9, 2.89, 0.14, 1.10, 177.5
create-asset-load-375, 42651, 0, 143.2, 5.78, 0.25, 1.54, 143.0
create-asset-load-450, 40350, 0, 135.1, 6.51, 0.38, 1.90, 134.9
create-asset-load-525, 39297, 0, 131.2, 7.48, 0.35, 2.32, 130.6
create-asset-load-600, 38248, 0, 127.9, 8.30, 0.41, 3.11, 127.7
create-asset-load-675, 38480, 0, 128.3, 10.47, 0.45, 3.11, 127.9
create-asset-load-750, 41320, 0, 137.9, 11.38, 0.35, 3.01, 137.7
create-asset-load-825, 37896, 0, 126.9, 11.67, 0.41, 3.74, 126.7
create-asset-load-900, 38409, 0, 127.4, 10.48, 0.20, 4.09, 127.2

Benchmark 1
create-asset-load-75, 21003, 0, 70.7, 1.89, 0.20, 0.83, 70.6
create-asset-load-150, 26869, 0, 90.3, 2.74, 0.19, 0.94, 90.2
create-asset-load-225, 32363, 0, 108.6, 3.39, 0.28, 1.16, 108.4
create-asset-load-300, 55443, 0, 186.8, 2.65, 0.19, 1.07, 186.4
create-asset-load-375, 38606, 0, 129.5, 5.50, 0.31, 1.76, 129.2
create-asset-load-450, 37490, 0, 125.4, 7.40, 0.17, 2.07, 125.2
create-asset-load-525, 38091, 0, 127.0, 7.87, 0.30, 2.26, 126.8
create-asset-load-600, 43967, 0, 145.9, 8.20, 0.45, 2.73, 145.7
create-asset-load-675, 46502, 0, 155.5, 10.50, 0.31, 2.58, 155.3
create-asset-load-750, 40275, 0, 133.8, 9.01, 0.17, 3.17, 133.5
create-asset-load-825, 38873, 0, 129.1, 9.64, 0.50, 3.62, 128.9
create-asset-load-900, 39369, 0, 131.3, 13.23, 0.56, 4.31, 130.9

Benchmark 2
create-asset-load-75, 21251, 0, 71.6, 2.14, 0.23, 0.83, 71.4
create-asset-load-150, 27011, 0, 90.9, 2.55, 0.20, 0.95, 90.7
create-asset-load-225, 31457, 0, 105.5, 3.40, 0.17, 1.27, 105.4
create-asset-load-300, 54957, 0, 185.0, 2.82, 0.19, 1.08, 184.6
create-asset-load-375, 40447, 0, 135.7, 5.46, 0.25, 1.60, 135.4
create-asset-load-450, 38681, 0, 129.4, 6.16, 0.19, 1.98, 129.3
create-asset-load-525, 40084, 0, 134.7, 7.37, 0.35, 2.23, 134.2
create-asset-load-600, 40943, 0, 135.6, 9.05, 0.23, 2.81, 135.3
