Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-load-300, 55592, 0, 187.2, 3.07, 0.19, 1.04, 187.0
create-asset-load-450, 58167, 0, 195.4, 3.04, 0.12, 1.24, 195.1
create-asset-load-600, 72636, 0, 244.3, 3.85, 0.15, 1.51, 243.9
create-asset-load-750, 76451, 0, 256.9, 4.24, 0.17, 1.68, 256.7
create-asset-load-900, 88228, 0, 296.2, 5.14, 0.17, 1.89, 296.0
create-asset-load-1050, 83360, 0, 280.3, 5.96, 0.14, 2.29, 279.9
create-asset-load-1200, 93874, 0, 312.6, 6.53, 0.39, 2.39, 312.1
create-asset-load-1350, 90011, 0, 300.0, 6.66, 0.22, 2.69, 299.3
create-asset-load-1500, 90687, 0, 301.1, 8.04, 0.37, 3.07, 300.4
create-asset-load-1650, 92687, 0, 308.0, 9.11, 0.38, 3.33, 307.6
create-asset-load-1800, 98296, 0, 328.2, 11.44, 0.53, 3.55, 327.4

Benchmark 1
create-asset-load-300, 54711, 0, 184.2, 3.25, 0.17, 1.05, 183.9
create-asset-load-450, 62227, 0, 209.1, 3.18, 0.15, 1.17, 208.6
create-asset-load-600, 75456, 0, 252.4, 3.97, 0.25, 1.48, 252.0
create-asset-load-750, 79210, 0, 265.5, 4.43, 0.18, 1.63, 265.1
create-asset-load-900, 90400, 0, 302.0, 4.80, 0.16, 1.81, 301.4
create-asset-load-1050, 90277, 0, 301.7, 6.02, 0.19, 2.06, 301.2
create-asset-load-1200, 97054, 0, 323.0, 6.91, 0.16, 2.33, 322.7
create-asset-load-1350, 98741, 0, 330.9, 7.27, 0.24, 2.47, 330.2
create-asset-load-1500, 104546, 0, 346.8, 7.46, 0.28, 2.76, 346.0
create-asset-load-1650, 99766, 0, 334.3, 7.54, 0.19, 2.95, 333.6
create-asset-load-1800, 101879, 0, 341.0, 10.18, 0.39, 3.33, 340.3

Benchmark 2
create-asset-load-300, 55541, 0, 186.9, 3.17, 0.14, 1.03, 186.7
create-asset-load-450, 59711, 0, 200.6, 3.01, 0.12, 1.21, 200.2
create-asset-load-600, 73464, 0, 246.9, 3.72, 0.17, 1.46, 246.7
create-asset-load-750, 78101, 0, 261.7, 4.85, 0.15, 1.63, 261.1
create-asset-load-900, 88048, 0, 295.6, 5.42, 0.27, 1.84, 295.3
create-asset-load-1050, 90753, 0, 304.0, 5.83, 0.17, 2.04, 303.4
create-asset-load-1200, 94610, 0, 315.5, 7.19, 0.26, 2.37, 315.0
create-asset-load-1350, 96736, 0, 322.7, 8.14, 0.32, 2.57, 322.1
create-asset-load-1500, 97374, 0, 325.6, 8.48, 0.44, 2.99, 324.9
