Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-load-300, 72629, 0, 244.3, 2.12, 0.12, 0.76, 243.8
create-asset-load-600, 109500, 0, 368.8, 2.85, 0.14, 1.00, 368.0
create-asset-load-900, 145312, 0, 487.3, 3.02, 0.15, 1.16, 486.4
create-asset-load-1200, 163347, 0, 550.5, 3.38, 0.19, 1.32, 549.5
create-asset-load-1500, 173398, 0, 581.6, 4.10, 0.22, 1.56, 580.6
create-asset-load-1800, 187458, 0, 629.8, 4.53, 0.30, 1.76, 628.4
create-asset-load-2100, 186607, 0, 626.0, 5.30, 0.30, 2.11, 623.8
create-asset-load-2400, 191168, 0, 643.2, 6.35, 0.23, 2.38, 641.4
create-asset-load-2700, 199999, 0, 669.8, 7.04, 0.23, 2.50, 667.6
create-asset-load-3000, 192292, 0, 639.3, 7.54, 0.41, 3.09, 637.7

Benchmark 1
create-asset-load-300, 73060, 0, 246.2, 2.05, 0.11, 0.75, 245.9
create-asset-load-600, 114013, 0, 382.9, 3.04, 0.16, 0.99, 382.5
create-asset-load-900, 138963, 0, 466.4, 2.90, 0.20, 1.20, 465.2
create-asset-load-1200, 160361, 0, 539.7, 3.60, 0.18, 1.37, 538.6
create-asset-load-1500, 170907, 0, 574.5, 4.46, 0.23, 1.58, 574.0
create-asset-load-1800, 182291, 0, 612.4, 4.79, 0.21, 1.78, 611.3
create-asset-load-2100, 186206, 0, 625.1, 6.29, 0.22, 2.09, 623.8
create-asset-load-2400, 177803, 0, 596.1, 6.47, 0.38, 2.50, 594.6
create-asset-load-2700, 179535, 0, 600.5, 7.16, 0.23, 2.88, 599.6
create-asset-load-3000, 198316, 0, 666.6, 7.42, 0.22, 2.95, 666.1

Benchmark 2
create-asset-load-300, 76159, 0, 256.7, 2.16, 0.14, 0.74, 256.4
create-asset-load-600, 115992, 0, 390.6, 2.87, 0.14, 0.96, 390.3
create-asset-load-900, 143499, 0, 483.3, 3.35, 0.19, 1.14, 482.7
create-asset-load-1200, 154991, 0, 522.1, 3.53, 0.24, 1.39, 521.2
create-asset-load-1500, 164535, 0, 552.7, 4.47, 0.21, 1.68, 551.8
create-asset-load-1800, 180184, 0, 605.3, 5.06, 0.24, 1.82, 603.7
create-asset-load-2100, 183597, 0, 616.5, 6.35, 0.23, 2.13, 615.3
create-asset-load-2400, 181052, 0, 607.2, 6.62, 0.29, 2.44, 606.1
create-asset-load-2700, 185040, 0, 619.8, 7.42, 0.28, 2.72, 619.2
create-asset-load-3000, 180275, 0, 602.5, 7.86, 0.47, 3.21, 601.0

Benchmark 3
create-asset-load-300, 73111, 0, 246.6, 2.15, 0.13, 0.75, 246.4
