Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-load-300, 68048, 0, 229.2, 2.35, 0.16, 0.81, 229.0
create-asset-load-600, 108730, 0, 366.1, 2.46, 0.20, 1.05, 365.3
create-asset-load-900, 133796, 0, 449.7, 3.22, 0.25, 1.31, 448.8
create-asset-load-1050, 131084, 0, 439.7, 4.38, 0.22, 1.49, 439.2
create-asset-load-1200, 135777, 0, 456.4, 4.40, 0.20, 1.66, 456.1
create-asset-load-1350, 150055, 0, 505.5, 4.61, 0.22, 1.77, 504.1
create-asset-load-1500, 146579, 0, 491.9, 5.72, 0.34, 1.94, 491.4
create-asset-load-1650, 141721, 0, 473.6, 5.90, 0.23, 2.20, 473.0
create-asset-load-1800, 135747, 0, 454.2, 6.40, 0.22, 2.45, 453.9

Benchmark 1
create-asset-load-300, 67157, 0, 226.4, 2.22, 0.15, 0.82, 226.2
create-asset-load-600, 104142, 0, 350.3, 2.76, 0.17, 1.09, 349.8
create-asset-load-900, 134050, 0, 451.1, 3.53, 0.20, 1.29, 450.7
create-asset-load-1050, 126770, 0, 426.1, 3.70, 0.16, 1.50, 425.3
create-asset-load-1200, 133552, 0, 448.8, 4.64, 0.21, 1.69, 448.5
create-asset-load-1350, 144130, 0, 483.2, 5.38, 0.19, 1.71, 482.1
create-asset-load-1500, 136510, 0, 458.1, 5.92, 0.20, 2.08, 457.2
create-asset-load-1650, 133598, 0, 447.6, 5.59, 0.17, 2.30, 446.8
create-asset-load-1800, 142940, 0, 479.0, 6.44, 0.16, 2.40, 478.7

Benchmark 2
create-asset-load-300, 63350, 0, 213.4, 2.93, 0.13, 0.87, 213.0
create-asset-load-600, 102471, 0, 345.3, 2.76, 0.16, 1.10, 344.7
create-asset-load-900, 123705, 0, 415.7, 3.65, 0.15, 1.37, 415.5
create-asset-load-1050, 132537, 0, 444.8, 3.62, 0.16, 1.46, 444.1
create-asset-load-1200, 139854, 0, 469.9, 4.54, 0.18, 1.61, 469.1
create-asset-load-1350, 147604, 0, 495.9, 4.64, 0.26, 1.70, 495.4
create-asset-load-1500, 142643, 0, 478.5, 6.30, 0.21, 2.02, 477.7
create-asset-load-1650, 140583, 0, 470.5, 5.66, 0.33, 2.35, 469.9
create-asset-load-1800, 138645, 0, 464.6, 7.02, 0.37, 2.38, 463.2

Benchmark 3
create-asset-load-300, 64853, 0, 218.2, 2.11, 0.14, 0.84, 218.0
create-asset-load-600, 103943, 0, 349.9, 2.79, 0.17, 1.09, 349.2
create-asset-load-900, 127258, 0, 425.9, 3.90, 0.15, 1.34, 425.1
create-asset-load-1050, 121831, 0, 408.4, 4.51, 0.23, 1.57, 408.1
