Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-load-300, 60446, 0, 203.4, 2.59, 0.15, 0.95, 203.2
create-asset-load-450, 64728, 0, 217.9, 2.47, 0.17, 1.09, 217.6
create-asset-load-600, 85865, 0, 288.8, 3.38, 0.17, 1.35, 288.2
create-asset-load-750, 88165, 0, 295.8, 4.07, 0.27, 1.45, 295.5
create-asset-load-900, 104953, 0, 352.5, 5.72, 0.17, 1.66, 351.8
create-asset-load-1050, 103281, 0, 346.4, 4.80, 0.17, 1.84, 345.9
create-asset-load-1200, 106011, 0, 355.8, 6.47, 0.13, 2.14, 355.0
create-asset-load-1350, 110696, 0, 370.8, 6.67, 0.14, 2.19, 370.1
create-asset-load-1500, 104909, 0, 351.7, 7.62, 0.50, 2.75, 350.7
create-asset-load-1650, 102451, 0, 343.6, 7.96, 0.42, 2.85, 342.2
create-asset-load-1800, 104971, 0, 351.7, 8.46, 0.13, 3.03, 351.4

Benchmark 1
create-asset-load-300, 63752, 0, 214.2, 2.48, 0.17, 0.93, 213.9
create-asset-load-450, 74853, 0, 251.9, 2.72, 0.14, 1.03, 251.5
create-asset-load-600, 94730, 0, 317.4, 3.29, 0.26, 1.24, 316.8
create-asset-load-750, 93876, 0, 314.9, 3.99, 0.21, 1.42, 314.3
create-asset-load-900, 107183, 0, 360.1, 4.80, 0.39, 1.61, 359.4
create-asset-load-1050, 103654, 0, 347.3, 4.92, 0.17, 1.84, 346.8
create-asset-load-1200, 106955, 0, 355.9, 7.68, 0.14, 2.18, 355.1
create-asset-load-1350, 105477, 0, 353.5, 7.38, 0.29, 2.34, 352.9
create-asset-load-1500, 112654, 0, 374.2, 6.96, 0.31, 2.66, 373.3
create-asset-load-1650, 97458, 0, 325.0, 8.71, 0.24, 3.08, 324.6
create-asset-load-1800, 98978, 0, 327.5, 8.07, 0.30, 3.41, 326.7

Benchmark 2
create-asset-load-300, 61673, 0, 207.8, 2.69, 0.17, 0.96, 207.5
create-asset-load-450, 68812, 0, 231.4, 2.72, 0.15, 1.08, 231.0
create-asset-load-600, 90732, 0, 305.2, 3.13, 0.24, 1.28, 304.6
create-asset-load-750, 90467, 0, 303.8, 4.53, 0.20, 1.47, 303.4
create-asset-load-900, 99178, 0, 331.8, 4.65, 0.25, 1.72, 331.3
create-asset-load-1050, 104775, 0, 350.8, 5.42, 0.18, 1.88, 350.6
create-asset-load-1200, 108226, 0, 360.7, 6.32, 0.35, 2.13, 360.2
create-asset-load-1350, 111658, 0, 373.5, 7.37, 0.28, 2.24, 370.6
create-asset-load-1500, 108099, 0, 362.0, 7.29, 0.26, 2.72, 361.3
