Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-load-300, 54345, 0, 182.8, 2.44, 0.16, 1.01, 182.7
create-asset-load-450, 63329, 0, 213.6, 2.32, 0.16, 1.08, 213.3
create-asset-load-600, 99211, 0, 332.6, 2.65, 0.27, 1.18, 331.9
create-asset-load-750, 96699, 0, 324.9, 2.99, 0.15, 1.27, 324.3
create-asset-load-900, 125076, 0, 419.2, 4.66, 0.30, 1.45, 418.0
create-asset-load-1050, 131595, 0, 441.6, 4.15, 0.31, 1.46, 440.7
create-asset-load-1200, 136961, 0, 460.2, 4.32, 0.35, 1.66, 459.3
create-asset-load-1350, 145976, 0, 490.0, 5.16, 0.10, 1.74, 489.8
create-asset-load-1500, 139287, 0, 467.5, 5.01, 0.40, 2.03, 465.8
create-asset-load-1650, 137315, 0, 458.8, 5.83, 0.39, 2.26, 457.7
create-asset-load-1800, 134297, 0, 451.4, 5.51, 0.25, 2.50, 450.2

Benchmark 1
create-asset-load-300, 55254, 0, 185.7, 2.01, 0.13, 0.99, 185.6
create-asset-load-450, 63584, 0, 213.7, 2.12, 0.13, 1.05, 213.4
create-asset-load-600, 99918, 0, 336.0, 2.74, 0.26, 1.20, 335.0
create-asset-load-750, 99270, 0, 333.5, 2.67, 0.20, 1.15, 333.2
create-asset-load-900, 122363, 0, 411.6, 3.20, 0.22, 1.45, 410.8
create-asset-load-1050, 134156, 0, 451.5, 2.87, 0.31, 1.34, 450.0
create-asset-load-1200, 155049, 0, 521.5, 3.62, 0.33, 1.54, 520.6
create-asset-load-1350, 146183, 0, 490.5, 4.07, 0.39, 1.75, 488.7
create-asset-load-1500, 147693, 0, 495.7, 4.64, 0.33, 1.97, 494.4
create-asset-load-1650, 142326, 0, 476.3, 4.93, 0.15, 2.26, 475.3
create-asset-load-1800, 135509, 0, 453.8, 6.73, 0.51, 2.54, 452.4

Benchmark 2
create-asset-load-300, 56807, 0, 190.7, 2.12, 0.19, 1.01, 190.2
create-asset-load-450, 66068, 0, 222.0, 2.62, 0.16, 1.01, 221.4
create-asset-load-600, 104673, 0, 352.3, 2.41, 0.30, 1.14, 351.8
create-asset-load-750, 99495, 0, 334.2, 3.25, 0.15, 1.17, 333.9
create-asset-load-900, 133219, 0, 446.6, 3.78, 0.28, 1.36, 445.9
create-asset-load-1050, 127018, 0, 426.4, 3.69, 0.17, 1.41, 425.3
create-asset-load-1200, 144324, 0, 484.9, 4.24, 0.24, 1.61, 483.9
create-asset-load-1350, 142360, 0, 479.5, 4.41, 0.43, 1.83, 478.0
create-asset-load-1500, 139599, 0, 469.5, 4.73, 0.12, 2.02, 468.2
