Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-load-75, 20948, 0, 70.6, 1.57, 0.16, 0.83, 70.4
create-asset-load-150, 32332, 0, 108.9, 1.56, 0.17, 0.77, 108.8
create-asset-load-225, 43199, 0, 145.4, 2.10, 0.20, 0.85, 145.3
create-asset-load-300, 62894, 0, 211.1, 2.45, 0.23, 0.97, 210.9
create-asset-load-375, 63404, 0, 213.5, 3.11, 0.19, 1.07, 213.1
create-asset-load-450, 67192, 0, 225.8, 3.19, 0.18, 1.13, 225.5
create-asset-load-525, 75039, 0, 251.9, 3.74, 0.26, 1.31, 251.2
create-asset-load-600, 70414, 0, 235.5, 4.35, 0.33, 1.58, 235.1
create-asset-load-675, 76452, 0, 256.5, 4.91, 0.28, 1.59, 256.3
create-asset-load-750, 71701, 0, 240.7, 5.65, 0.22, 1.83, 240.4
create-asset-load-825, 70678, 0, 236.1, 5.92, 0.29, 2.08, 235.6
create-asset-load-900, 78148, 0, 262.3, 5.74, 0.29, 2.18, 261.2

Benchmark 1
create-asset-load-75, 22202, 0, 74.8, 1.41, 0.16, 0.76, 74.7
create-asset-load-150, 31831, 0, 107.4, 1.69, 0.13, 0.80, 107.2
create-asset-load-225, 43934, 0, 147.7, 2.06, 0.15, 0.84, 147.6
create-asset-load-300, 62429, 0, 210.3, 2.51, 0.21, 0.95, 209.9
create-asset-load-375, 65391, 0, 220.0, 3.71, 0.21, 1.07, 219.8
create-asset-load-450, 70704, 0, 237.5, 3.30, 0.21, 1.12, 237.0
create-asset-load-525, 74195, 0, 249.4, 4.36, 0.30, 1.34, 248.9
create-asset-load-600, 67299, 0, 224.9, 4.47, 0.24, 1.62, 224.6
create-asset-load-675, 80427, 0, 270.2, 4.88, 0.21, 1.41, 269.7
create-asset-load-750, 75924, 0, 254.4, 5.41, 0.31, 1.80, 254.0
create-asset-load-825, 80231, 0, 268.1, 4.96, 0.34, 1.85, 267.8
create-asset-load-900, 69907, 0, 234.9, 6.39, 0.46, 2.40, 234.5

Benchmark 2
create-asset-load-75, 20818, 0, 70.2, 1.59, 0.15, 0.81, 70.0
create-asset-load-150, 30545, 0, 102.8, 1.63, 0.11, 0.82, 102.6
create-asset-load-225, 41209, 0, 138.6, 1.84, 0.14, 0.86, 138.3
create-asset-load-300, 62354, 0, 209.7, 2.58, 0.26, 0.98, 209.3
create-asset-load-375, 64893, 0, 218.3, 3.24, 0.20, 1.06, 217.8
create-asset-load-450, 64442, 0, 216.7, 3.80, 0.22, 1.18, 216.5
create-asset-load-525, 80519, 0, 270.5, 3.14, 0.27, 1.17, 270.0
create-asset-load-600, 70193, 0, 235.7, 4.51, 0.39, 1.58, 235.4
